almond_translate/299526/name/0	هتل روزدیل هنگ کنگ	.
almond_translate/299526/location/0	پارک ویکتوریا	.
almond_translate/299526/location/1	جزیره هنگ کنگ	.
almond_translate/299534/name/0	JEN هنگ کنگ توسط شانگی-لا	.
almond_translate/299534/location/0	غرب (سه وان)	.
almond_translate/299534/location/1	بیلچر	.
almond_translate/299534/location/2	جزیره هنگ کنگ	.
almond_translate/299534/location/3	منطقه غربی	.
almond_translate/299535/name/0	آیبیس هنگ کنگ شمال نقطه	.
almond_translate/299535/location/0	نقطه ی شمالی	.
almond_translate/299535/location/1	جزیره هنگ کنگ	.
almond_translate/299535/location/2	منطقه شرقی	.
almond_translate/299535/location/3	تپه قلعه	.
almond_translate/300319/name/0	Novotel Century Hong Kong	.
almond_translate/300319/location/0	وان چی / خلیج کاوزوی	.
almond_translate/300319/location/1	جزیره هنگ کنگ	.
almond_translate/300319/location/2	خیابان Hennessy	.
almond_translate/300697/name/0	هتل JW Marriott هنگ کنگ	.
almond_translate/300697/location/0	جزیره هنگ کنگ	.
almond_translate/300697/location/1	تای فات هاو	.
almond_translate/300840/name/0	هتل مارکو پولو هنگ کنگ	.
almond_translate/300840/location/0	تیم شا تی	.
almond_translate/300840/location/1	کولوون	.
almond_translate/300840/location/2	منطقه ی یا سیم مونگ	.
almond_translate/300844/name/0	هتل پرنس	.
almond_translate/300844/location/0	تیم شا تی	.
almond_translate/300844/location/1	کولوون	.
almond_translate/300844/location/2	منطقه ی یا سیم مونگ	.
almond_translate/302040/name/0	شبه جزیره هنگ کنگ	.
almond_translate/302040/location/0	تیم شا تی	.
almond_translate/302040/location/1	کولوون	.
almond_translate/302040/location/2	منطقه ی یا سیم مونگ	.
almond_translate/302130/name/0	جزیره شانگری- لا هنگ کنگ	.
almond_translate/302130/location/0	جزیره هنگ کنگ	.
almond_translate/302130/location/1	تای فات هاو	.
almond_translate/302133/name/0	کولوون شانگری-لا هنگ کنگ	.
almond_translate/302133/location/0	تیم شا تی	.
almond_translate/302133/location/1	کولوون	.
almond_translate/302133/location/2	منطقه ی یا سیم مونگ	.
almond_translate/302173/name/0	هتل فرودگاه رژال	.
almond_translate/302173/location/0	سرزمینهای نو	.
almond_translate/302173/location/1	منطقه جزایر	.
almond_translate/302173/location/2	تونگ چینگ	.
almond_translate/302174/name/0	هتل رژال هنگ کنگ	.
almond_translate/302174/location/0	وان چی / خلیج کاوزوی	.
almond_translate/302174/location/1	جزیره هنگ کنگ	.
almond_translate/302175/name/0	هتل رژال کوولون	.
almond_translate/302175/location/0	تیم شا تی	.
almond_translate/302175/location/1	کولوون	.
almond_translate/302175/location/2	منطقه ی یا سیم مونگ	.
almond_translate/302178/name/0	هتل ریگال ریورساید	.
almond_translate/302178/location/0	سرزمینهای نو	.
almond_translate/302178/location/1	شا تین وایی	.
almond_translate/302178/location/2	شا تین	.
