almond_translate/Abu Dhabi_friday/day/0	جمعه	.
almond_translate/Abu Dhabi_friday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_friday/weather/0	باران	.
almond_translate/Abu Dhabi_monday/day/0	دوشنبه	.
almond_translate/Abu Dhabi_monday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_monday/weather/0	باران	.
almond_translate/Abu Dhabi_saturday/day/0	شنبه	.
almond_translate/Abu Dhabi_saturday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_saturday/weather/0	ابرها	.
almond_translate/Abu Dhabi_sunday/day/0	روز یکشنبه	.
almond_translate/Abu Dhabi_sunday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_sunday/weather/0	ابرها	.
almond_translate/Abu Dhabi_thursday/day/0	سه شنبه	.
almond_translate/Abu Dhabi_thursday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_thursday/weather/0	ابرها	.
almond_translate/Abu Dhabi_today/day/0	امروز	.
almond_translate/Abu Dhabi_today/city/0	ابوظبی	.
almond_translate/Abu Dhabi_today/weather/0	باران	.
almond_translate/Abu Dhabi_tomorrow/day/0	فردا	.
almond_translate/Abu Dhabi_tomorrow/city/0	ابوظبی	.
almond_translate/Abu Dhabi_tomorrow/weather/0	باران	.
almond_translate/Abu Dhabi_tuesday/day/0	شنبه	.
almond_translate/Abu Dhabi_tuesday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_tuesday/weather/0	ابرها	.
almond_translate/Abu Dhabi_wednesday/day/0	چهارشنبه	.
almond_translate/Abu Dhabi_wednesday/city/0	ابوظبی	.
almond_translate/Abu Dhabi_wednesday/weather/0	باران	.
almond_translate/Amsterdam_friday/day/0	جمعه	.
almond_translate/Amsterdam_friday/city/0	آمستردام	.
almond_translate/Amsterdam_friday/weather/0	باران	.
almond_translate/Amsterdam_monday/day/0	دوشنبه	.
almond_translate/Amsterdam_monday/city/0	آمستردام	.
almond_translate/Amsterdam_monday/weather/0	ابرها	.
almond_translate/Amsterdam_saturday/day/0	شنبه	.
almond_translate/Amsterdam_saturday/city/0	آمستردام	.
almond_translate/Amsterdam_saturday/weather/0	باران	.
almond_translate/Amsterdam_sunday/day/0	روز یکشنبه	.
almond_translate/Amsterdam_sunday/city/0	آمستردام	.
almond_translate/Amsterdam_sunday/weather/0	آفتابی	.
almond_translate/Amsterdam_thursday/day/0	سه شنبه	.
almond_translate/Amsterdam_thursday/city/0	آمستردام	.
almond_translate/Amsterdam_thursday/weather/0	ابرها	.
almond_translate/Amsterdam_today/day/0	امروز	.
almond_translate/Amsterdam_today/city/0	آمستردام	.
almond_translate/Amsterdam_today/weather/0	ابرها	.
almond_translate/Amsterdam_tomorrow/day/0	فردا	.
almond_translate/Amsterdam_tomorrow/city/0	آمستردام	.
almond_translate/Amsterdam_tomorrow/weather/0	آفتابی	.
almond_translate/Amsterdam_tuesday/day/0	شنبه	.
almond_translate/Amsterdam_tuesday/city/0	آمستردام	.
almond_translate/Amsterdam_tuesday/weather/0	باران	.
almond_translate/Amsterdam_wednesday/day/0	چهارشنبه	.
almond_translate/Amsterdam_wednesday/city/0	آمستردام	.
almond_translate/Amsterdam_wednesday/weather/0	ابرها	.
almond_translate/Barcelona_friday/day/0	جمعه	.
almond_translate/Barcelona_friday/city/0	بارسلونا	.
almond_translate/Barcelona_friday/weather/0	باران	.
almond_translate/Barcelona_monday/day/0	دوشنبه	.
almond_translate/Barcelona_monday/city/0	بارسلونا	.
almond_translate/Barcelona_monday/weather/0	باران	.
almond_translate/Barcelona_saturday/day/0	شنبه	.
almond_translate/Barcelona_saturday/city/0	بارسلونا	.
almond_translate/Barcelona_saturday/weather/0	باران	.
almond_translate/Barcelona_sunday/day/0	روز یکشنبه	.
almond_translate/Barcelona_sunday/city/0	بارسلونا	.
almond_translate/Barcelona_sunday/weather/0	برف	.
almond_translate/Barcelona_thursday/day/0	سه شنبه	.
almond_translate/Barcelona_thursday/city/0	بارسلونا	.
almond_translate/Barcelona_thursday/weather/0	ابرها	.
almond_translate/Barcelona_today/day/0	امروز	.
almond_translate/Barcelona_today/city/0	بارسلونا	.
almond_translate/Barcelona_today/weather/0	ابرها	.
almond_translate/Barcelona_tomorrow/day/0	فردا	.
almond_translate/Barcelona_tomorrow/city/0	بارسلونا	.
almond_translate/Barcelona_tomorrow/weather/0	آفتابی	.
almond_translate/Barcelona_tuesday/day/0	شنبه	.
almond_translate/Barcelona_tuesday/city/0	بارسلونا	.
almond_translate/Barcelona_tuesday/weather/0	ابرها	.
almond_translate/Barcelona_wednesday/day/0	چهارشنبه	.
almond_translate/Barcelona_wednesday/city/0	بارسلونا	.
almond_translate/Barcelona_wednesday/weather/0	باران	.
almond_translate/Beijing_friday/day/0	جمعه	.
almond_translate/Beijing_friday/city/0	پکن	.
almond_translate/Beijing_friday/weather/0	ابرها	.
almond_translate/Beijing_monday/day/0	دوشنبه	.
almond_translate/Beijing_monday/city/0	پکن	.
almond_translate/Beijing_monday/weather/0	آفتابی	.
almond_translate/Beijing_saturday/day/0	شنبه	.
almond_translate/Beijing_saturday/city/0	پکن	.
almond_translate/Beijing_saturday/weather/0	باران	.
almond_translate/Beijing_sunday/day/0	روز یکشنبه	.
almond_translate/Beijing_sunday/city/0	پکن	.
almond_translate/Beijing_sunday/weather/0	باران	.
almond_translate/Beijing_thursday/day/0	سه شنبه	.
almond_translate/Beijing_thursday/city/0	پکن	.
