HKMTR!!goodbye!!null	祝你今天一切顺利，再见！
HKMTR!!inform!!estimated_time!!@	这将花费 @ 分钟
HKMTR!!inform!!price!!@	这价值 @。
HKMTR!!offer!!estimated_time!!@	这将花费 @。
HKMTR!!offer!!price!!@	这大约会花费你@。
HKMTR!!offer!!shortest_path!!@	你可以@
HKMTR!!request!!departure	你会从哪出发？
HKMTR!!request!!destination	你的目的地是哪里？
HKMTR!!request_more!!null	还有别的事吗？
attractions!!affirm!!null	是的。
attractions!!confirm!!null	你还有其他的需要吗？
attractions!!goodbye!!null	祝你今天一切顺利，再见！
attractions!!inform!!address!!@	地址是@。
attractions!!inform!!phone_number!!@	电话号码是@。
attractions!!notify_fail!!null	抱歉，没有符合您要求的景点。
attractions!!offer!!address!!@	地址是@。
attractions!!offer!!available_options!!@	一共有@个可用选项。
attractions!!offer!!name!!@	名字是@。
attractions!!offer!!phone_number!!@	电话号码是@。
attractions!!offer!!rating!!@	评价是@。
attractions!!request!!location	你对于景点评分的喜好是什么？
attractions!!request!!rating	你对于景点评分的喜好是什么？
attractions!!request!!type	景点的类别是什么？
attractions!!request_more!!null	还有别的事吗？
attractions!!request_update!!location	我应该搜索别的地点吗？
attractions!!request_update!!rating	你需要一些其他评分不同的景点吗？
attractions!!request_update!!type	我应该搜索别的地点吗？
chat!!greeting!!null	你好，有什么可以帮忙的嘛？
hotels!!affirm!!null	是的
hotels!!confirm!!name!!@	请确认宾馆的名称是@
hotels!!confirm!!null	还有其他的偏好吗？
hotels!!confirm!!number_of_nights!!@	预定@晚
hotels!!confirm!!number_of_rooms!!@	确认预定@个房间
hotels!!confirm!!start_date!!@	你能确认你要从@预定吗？
hotels!!goodbye!!null	很高兴帮助你，再见。
hotels!!inform!!address!!@	酒店地址是@。
hotels!!inform!!price_per_night!!@	宾馆每晚花费@
hotels!!inform!!ref_number!!@	预约完成，参考号码是@
hotels!!notify_fail!!null	很遗憾，我不能完成这个预约。
hotels!!notify_success!!null	好的，预约成功。
hotels!!offer!!available_options!!@	我找到@个酒店。
hotels!!offer!!name!!@	酒店名称是@。
hotels!!offer!!price_per_night!!@	酒店每晚话费@。
hotels!!offer!!rating!!@	酒店评分是@。
hotels!!request!!location	对地点有什么偏好吗？
hotels!!request!!name	你想要预约的酒店的名字是什么？
hotels!!request!!number_of_nights	你要预约几个晚上？
hotels!!request!!number_of_rooms	你要预约几个房间？
hotels!!request!!price_level	你想要的价格区间是什么样的？
hotels!!request!!rating	酒店需要有多少个评价？
hotels!!request!!stars	酒店需要多少星级？
hotels!!request!!start_date	你计划住几天？
hotels!!request!!user_name	可以告诉我你的名字吗？
hotels!!request_more!!null	我可以帮你其他事情吗？
hotels!!request_update!!location	你需要一些别的位置的酒店吗？
hotels!!request_update!!number_of_rooms	我应该尝试其他的房间数量吗？
hotels!!request_update!!price_level	换一个价格区间怎么样？
hotels!!request_update!!rating	我应该换一个评分吗？
hotels!!request_update!!stars	我应该换一个星级吗？
restaurants!!affirm!!null	当然
restaurants!!confirm!!date!!@	请确认你想要在@预约
restaurants!!confirm!!name!!@	餐厅的名字是@
restaurants!!confirm!!null	好的，还有其他的要求吗？
restaurants!!confirm!!number_of_people!!@	预约@个人的位置
restaurants!!confirm!!time!!@	预约@已经完成
restaurants!!goodbye!!null	再见！
restaurants!!inform!!address!!@	地址是@
restaurants!!inform!!phone_number!!@	电话号码是@
restaurants!!inform!!ref_number!!@	参考号码是@
restaurants!!notify_fail!!null	我不能预约这个地方。
restaurants!!notify_success!!null	我可以预约这个地方。
restaurants!!offer!!address!!@	我找到了一家叫@的餐厅符合你的要求
restaurants!!offer!!available_options!!@	我为你找到了@个餐厅
restaurants!!offer!!cuisine!!@	有@个餐厅
restaurants!!offer!!name!!@	你可能会对@感兴趣
restaurants!!offer!!phone_number!!@	你可以在@给他们打电话
restaurants!!offer!!rating!!@	它的评分是@
restaurants!!request!!cuisine	你对食物的类别有偏好吗？
restaurants!!request!!dietary_restrictions	有忌口吗？
restaurants!!request!!location	有偏好的地点吗？
restaurants!!request!!name	你有什么偏好的餐厅吗？
restaurants!!request!!number_of_people	你们有多少人？
restaurants!!request!!price_level	有什么偏好的价格区间吗？
restaurants!!request!!rating	有什么偏好的评分吗？
restaurants!!request!!time	有什么偏好的预定时间吗？
restaurants!!request!!user_name	你的名字是？
restaurants!!request_more!!null	有什么我今天能帮助你的吗？
restaurants!!request_update!!cuisine	我应该尝试其他食物类别吗？
restaurants!!request_update!!location	我应该尝试其他的地点吗？
restaurants!!request_update!!price_level	我应该尝试其他的价格区间吗？
restaurants!!request_update!!rating	我应该尝试另一个评分吗？
restaurants!!request_update!!time	我应该尝试另一个时间吗？
weathers!!goodbye!!null	祝您愉快！再见！
weathers!!inform!!max_temp!!@	最高气温是@
weathers!!inform!!min_temp!!@	最低气温是@
weathers!!offer!!city!!@	@的天气是
weathers!!offer!!day!!@	@的天气是
weathers!!offer!!max_temp!!@	最高气温是@
weathers!!offer!!min_temp!!@	最低气温是@
weathers!!offer!!weather!!@	天气是@
weathers!!request!!city	你要找哪个城市？
weathers!!request!!day	哪一天？
weathers!!request_more!!null	我还能帮你什么吗？
